fitness_level,goal,workout_type
Beginner,Weight Loss,Cardio & Light Strength
Beginner,Muscle Gain,Full Body Strength
Beginner,Endurance,Couch to 5k
Beginner,Flexibility,Yoga for Beginners
Intermediate,Weight Loss,HIIT & Cardio
Intermediate,Muscle Gain,Upper/Lower Split
Intermediate,Endurance,10k Training
Intermediate,Flexibility,Power Yoga
Advanced,Weight Loss,Advanced HIIT & MetCon
Advanced,Muscle Gain,Push/Pull/Legs
Advanced,Endurance,Marathon Prep
Advanced,Flexibility,Advanced Mobility
Beginner,Weight Loss,Cardio & Light Strength
Beginner,Muscle Gain,Full Body Strength
Beginner,Endurance,Couch to 5k
Beginner,Flexibility,Yoga for Beginners
Intermediate,Weight Loss,HIIT & Cardio
Intermediate,Muscle Gain,Upper/Lower Split
Intermediate,Endurance,10k Training
Intermediate,Flexibility,Power Yoga
Advanced,Weight Loss,Advanced HIIT & MetCon
Advanced,Muscle Gain,Push/Pull/Legs
Advanced,Endurance,Marathon Prep
Advanced,Flexibility,Advanced Mobility
Beginner,Weight Loss,Cardio & Light Strength
Beginner,Muscle Gain,Full Body Strength
Beginner,Endurance,Couch to 5k
Beginner,Flexibility,Yoga for Beginners
Intermediate,Weight Loss,HIIT & Cardio
Intermediate,Muscle Gain,Upper/Lower Split
Intermediate,Endurance,10k Training
Intermediate,Flexibility,Power Yoga
Advanced,Weight Loss,Advanced HIIT & MetCon
Advanced,Muscle Gain,Push/Pull/Legs
Advanced,Endurance,Marathon Prep
Advanced,Flexibility,Advanced Mobility
Beginner,Weight Loss,Cardio & Light Strength
Beginner,Muscle Gain,Full Body Strength
Beginner,Endurance,Couch to 5k
Beginner,Flexibility,Yoga for Beginners
Intermediate,Weight Loss,HIIT & Cardio
Intermediate,Muscle Gain,Upper/Lower Split
Intermediate,Endurance,10k Training
Intermediate,Flexibility,Power Yoga
Advanced,Weight Loss,Advanced HIIT & MetCon
Advanced,Muscle Gain,Push/Pull/Legs
Advanced,Endurance,Marathon Prep
Advanced,Flexibility,Advanced Mobility
Beginner,Weight Loss,Cardio & Light Strength
Beginner,Muscle Gain,Full Body Strength
Beginner,Endurance,Couch to 5k
Beginner,Flexibility,Yoga for Beginners
Intermediate,Weight Loss,HIIT & Cardio
Intermediate,Muscle Gain,Upper/Lower Split
Intermediate,Endurance,10k Training
Intermediate,Flexibility,Power Yoga
Advanced,Weight Loss,Advanced HIIT & MetCon
Advanced,Muscle Gain,Push/Pull/Legs
Advanced,Endurance,Marathon Prep
Advanced,Flexibility,Advanced Mobility
Beginner,Weight Loss,Cardio & Light Strength
Beginner,Muscle Gain,Full Body Strength
Beginner,Endurance,Couch to 5k
Beginner,Flexibility,Yoga for Beginners
Intermediate,Weight Loss,HIIT & Cardio
Intermediate,Muscle Gain,Upper/Lower Split
Intermediate,Endurance,10k Training
Intermediate,Flexibility,Power Yoga
Advanced,Weight Loss,Advanced HIIT & MetCon
Advanced,Muscle Gain,Push/Pull/Legs
Advanced,Endurance,Marathon Prep
Advanced,Flexibility,Advanced Mobility
Beginner,Weight Loss,Cardio & Light Strength
Beginner,Muscle Gain,Full Body Strength
Beginner,Endurance,Couch to 5k
Beginner,Flexibility,Yoga for Beginners
Intermediate,Weight Loss,HIIT & Cardio
Intermediate,Muscle Gain,Upper/Lower Split
Intermediate,Endurance,10k Training
Intermediate,Flexibility,Power Yoga
Advanced,Weight Loss,Advanced HIIT & MetCon
Advanced,Muscle Gain,Push/Pull/Legs
Advanced,Endurance,Marathon Prep
Advanced,Flexibility,Advanced Mobility
Beginner,Weight Loss,Cardio & Light Strength
Beginner,Muscle Gain,Full Body Strength
Beginner,Endurance,Couch to 5k
Beginner,Flexibility,Yoga for Beginners
Intermediate,Weight Loss,HIIT & Cardio
Intermediate,Muscle Gain,Upper/Lower Split
Intermediate,Endurance,10k Training
Intermediate,Flexibility,Power Yoga
Advanced,Weight Loss,Advanced HIIT & MetCon
Advanced,Muscle Gain,Push/Pull/Legs
Advanced,Endurance,Marathon Prep
Advanced,Flexibility,Advanced Mobility
Beginner,Weight Loss,Cardio & Light Strength
Beginner,Muscle Gain,Full Body Strength
Beginner,Endurance,Couch to 5k
Beginner,Flexibility,Yoga for Beginners
Intermediate,Weight Loss,HIIT & Cardio
Intermediate,Muscle Gain,Upper/Lower Split
Intermediate,Endurance,10k Training
Intermediate,Flexibility,Power Yoga
Advanced,Weight Loss,Advanced HIIT & MetCon
Advanced,Muscle Gain,Push/Pull/Legs
Advanced,Endurance,Marathon Prep
Advanced,Flexibility,Advanced Mobility
Beginner,Weight Loss,Cardio & Light Strength
Beginner,Muscle Gain,Full Body Strength
Beginner,Endurance,Couch to 5k
Beginner,Flexibility,Yoga for Beginners
Intermediate,Weight Loss,HIIT & Cardio
Intermediate,Muscle Gain,Upper/Lower Split
Intermediate,Endurance,10k Training
Intermediate,Flexibility,Power Yoga
Advanced,Weight Loss,Advanced HIIT & MetCon
Advanced,Muscle Gain,Push/Pull/Legs
Advanced,Endurance,Marathon Prep
Advanced,Flexibility,Advanced Mobility
Beginner,Weight Loss,Cardio & Light Strength
Beginner,Muscle Gain,Full Body Strength
